From	Entry	Entry Name	Organism	Gene Names
A0AVK6	A0AVK6	E2F8_HUMAN	Homo sapiens (Human)	E2F8
A1A4S6	A1A4S6	RHG10_HUMAN	Homo sapiens (Human)	ARHGAP10 GRAF2
A1Z1Q3	A1Z1Q3	MACD2_HUMAN	Homo sapiens (Human)	MACROD2 C20orf133
A4D126	A4D126	ISPD_HUMAN	Homo sapiens (Human)	CRPPA ISPD
A4D1E9	A4D1E9	GTPBA_HUMAN	Homo sapiens (Human)	GTPBP10 OBGH2 UG0751c10
A4D2B0	A4D2B0	MBLC1_HUMAN	Homo sapiens (Human)	MBLAC1
A4GXA9	A4GXA9	EME2_HUMAN	Homo sapiens (Human)	EME2
A4UGR9	A4UGR9	XIRP2_HUMAN	Homo sapiens (Human)	XIRP2 CMYA3
A5YKK6	A5YKK6	CNOT1_HUMAN	Homo sapiens (Human)	CNOT1 CDC39 KIAA1007 NOT1 AD-005
A6H8Y1	A6H8Y1	BDP1_HUMAN	Homo sapiens (Human)	BDP1 KIAA1241 KIAA1689 TFNR
A6NEQ2	A6NEQ2	F181B_HUMAN	Homo sapiens (Human)	FAM181B
A6NHC0	A6NHC0	CAN8_HUMAN	Homo sapiens (Human)	CAPN8 NCL2
A6NHR9	A6NHR9	SMHD1_HUMAN	Homo sapiens (Human)	SMCHD1 KIAA0650
A6NIH7	A6NIH7	U119B_HUMAN	Homo sapiens (Human)	UNC119B
A7KAX9	A7KAX9	RHG32_HUMAN	Homo sapiens (Human)	ARHGAP32 GRIT KIAA0712 RICS
A8K8P3	A8K8P3	SFI1_HUMAN	Homo sapiens (Human)	SFI1 KIAA0542
A8MUM7	A8MUM7	LEG16_HUMAN	Homo sapiens (Human)	LGALS16
B2RXH2	B2RXH2	KDM4E_HUMAN	Homo sapiens (Human)	KDM4E KDM4DL
O00139	O00139	KIF2A_HUMAN	Homo sapiens (Human)	KIF2A KIF2 KNS2
O00141	O00141	SGK1_HUMAN	Homo sapiens (Human)	SGK1 SGK
O00159	O00159	MYO1C_HUMAN	Homo sapiens (Human)	MYO1C
O00167	O00167	EYA2_HUMAN	Homo sapiens (Human)	EYA2 EAB1
O00168	O00168	PLM_HUMAN	Homo sapiens (Human)	FXYD1 PLM
O00175	O00175	CCL24_HUMAN	Homo sapiens (Human)	CCL24 MPIF2 SCYA24
O00182	O00182	LEG9_HUMAN	Homo sapiens (Human)	LGALS9
O00187	O00187	MASP2_HUMAN	Homo sapiens (Human)	MASP2
O00198	O00198	HRK_HUMAN	Homo sapiens (Human)	HRK BID3
O00204	O00204	ST2B1_HUMAN	Homo sapiens (Human)	SULT2B1 HSST2
O00206	O00206	TLR4_HUMAN	Homo sapiens (Human)	TLR4
O00212	O00212	RHOD_HUMAN	Homo sapiens (Human)	RHOD ARHD
O00213	O00213	APBB1_HUMAN	Homo sapiens (Human)	APBB1 FE65 RIR
O00220	O00220	TR10A_HUMAN	Homo sapiens (Human)	TNFRSF10A APO2 DR4 TRAILR1
O00222	O00222	GRM8_HUMAN	Homo sapiens (Human)	GRM8 GPRC1H MGLUR8
O00241	O00241	SIRB1_HUMAN	Homo sapiens (Human)	SIRPB1
O00253	O00253	AGRP_HUMAN	Homo sapiens (Human)	AGRP AGRT ART
O00255	O00255	MEN1_HUMAN	Homo sapiens (Human)	MEN1 SCG2
O00268	O00268	TAF4_HUMAN	Homo sapiens (Human)	TAF4 TAF2C TAF2C1 TAF4A TAFII130 TAFII135
O00273	O00273	DFFA_HUMAN	Homo sapiens (Human)	DFFA DFF1 DFF45 H13
O00291	O00291	HIP1_HUMAN	Homo sapiens (Human)	HIP1
O00294	O00294	TULP1_HUMAN	Homo sapiens (Human)	TULP1 TUBL1
O00299	O00299	CLIC1_HUMAN	Homo sapiens (Human)	CLIC1 G6 NCC27
O00303	O00303	EIF3F_HUMAN	Homo sapiens (Human)	EIF3F EIF3S5
O00329	O00329	PK3CD_HUMAN	Homo sapiens (Human)	PIK3CD
O00330	O00330	ODPX_HUMAN	Homo sapiens (Human)	PDHX PDX1
O00338	O00338	ST1C2_HUMAN	Homo sapiens (Human)	SULT1C2 SULT1C1
O00391	O00391	QSOX1_HUMAN	Homo sapiens (Human)	QSOX1 QSCN6 UNQ2520/PRO6013
O00408	O00408	PDE2A_HUMAN	Homo sapiens (Human)	PDE2A
O00411	O00411	RPOM_HUMAN	Homo sapiens (Human)	POLRMT
O00418	O00418	EF2K_HUMAN	Homo sapiens (Human)	EEF2K
O00429	O00429	DNM1L_HUMAN	Homo sapiens (Human)	DNM1L DLP1 DRP1
O00443	O00443	P3C2A_HUMAN	Homo sapiens (Human)	PIK3C2A
O00444	O00444	PLK4_HUMAN	Homo sapiens (Human)	PLK4 SAK STK18
O00445	O00445	SYT5_HUMAN	Homo sapiens (Human)	SYT5
O00463	O00463	TRAF5_HUMAN	Homo sapiens (Human)	TRAF5 RNF84
O00472	O00472	ELL2_HUMAN	Homo sapiens (Human)	ELL2
O00481	O00481	BT3A1_HUMAN	Homo sapiens (Human)	BTN3A1 BTF5
O00482	O00482	NR5A2_HUMAN	Homo sapiens (Human)	NR5A2 B1F CPF FTF
O00488	O00488	ZN593_HUMAN	Homo sapiens (Human)	ZNF593 ZT86
O00512	O00512	BCL9_HUMAN	Homo sapiens (Human)	BCL9
O00522	O00522	KRIT1_HUMAN	Homo sapiens (Human)	KRIT1 CCM1
O00541	O00541	PESC_HUMAN	Homo sapiens (Human)	PES1
O00548	O00548	DLL1_HUMAN	Homo sapiens (Human)	DLL1 UNQ146/PRO172
O00555	O00555	CAC1A_HUMAN	Homo sapiens (Human)	CACNA1A CACH4 CACN3 CACNL1A4
O00560	O00560	SDCB1_HUMAN	Homo sapiens (Human)	SDCBP MDA9 SYCL
O00571	O00571	DDX3X_HUMAN	Homo sapiens (Human)	DDX3X DBX DDX3
O00602	O00602	FCN1_HUMAN	Homo sapiens (Human)	FCN1 FCNM
O00625	O00625	PIR_HUMAN	Homo sapiens (Human)	PIR
O00755	O00755	WNT7A_HUMAN	Homo sapiens (Human)	WNT7A
O00757	O00757	F16P2_HUMAN	Homo sapiens (Human)	FBP2
O00763	O00763	ACACB_HUMAN	Homo sapiens (Human)	ACACB ACC2 ACCB
O00764	O00764	PDXK_HUMAN	Homo sapiens (Human)	PDXK C21orf124 C21orf97 PKH PNK PRED79
O14490	O14490	DLGP1_HUMAN	Homo sapiens (Human)	DLGAP1 DAP1 GKAP
O14497	O14497	ARI1A_HUMAN	Homo sapiens (Human)	ARID1A BAF250 BAF250A C1orf4 OSA1 SMARCF1
O14508	O14508	SOCS2_HUMAN	Homo sapiens (Human)	SOCS2 CIS2 SSI2 STATI2
O14520	O14520	AQP7_HUMAN	Homo sapiens (Human)	AQP7 AQP7L AQP9
O14522	O14522	PTPRT_HUMAN	Homo sapiens (Human)	PTPRT KIAA0283
O14523	O14523	C2C2L_HUMAN	Homo sapiens (Human)	C2CD2L KIAA0285 TMEM24 DLNB23
O14529	O14529	CUX2_HUMAN	Homo sapiens (Human)	CUX2 CUTL2 KIAA0293
