PDB	CHAIN	Uniprot_ID	LENGTH	RESOLUTION	PDB_BEG	PDB_END
133l	A	P61626	130	1.77	1	130
121p	A	P01112	166	1.54	1	166
1a36	A	P11387	544	2.8	215	633	641	765
1a28	A	P06401	251	1.8	682	932
1a28	B	P06401	249	1.8	683	931
1a0z	B	P68871	146	2	1	146
1a0z	D	P68871	146	2	1	146
1a3b	H	P00734	229	1.8	16	147	149	245
1a3b	L	P00734	14	1.8	1	14
1a4w	H	P00734	226	1.8	16	146	150	244
1a4w	L	P00734	14	1.8	1	14
1a52	A	P03372	239	2.8	306	544
1a52	B	P03372	240	2.8	305	544
1aht	H	P00734	229	1.6	16	147	150	246
1aht	L	P00734	14	1.6	1	14
1aie	A	P04637	31	1.5	326	356
1alg	A	P00390	24	None	1	24
1anw	A	P08758	319	2.4	2	320
1anw	B	P08758	319	2.4	2	320
1azg	A	P27986	14	None	91	104
1anx	A	P08758	316	1.9	3	318
1anx	B	P08758	316	1.9	3	318
1anx	C	P08758	316	1.9	3	318
1b22	A	Q06609	70	None	16	85
1b0g	A	P04439	275	2.5	1	275
1b0g	B	P61769	99	2.5	1	99
1b0g	D	P04439	275	2.5	1	275
1b0g	E	P61769	99	2.5	1	99
1b5u	A	P61626	130	1.8	1	130
1b3u	A	P30153	588	2.3	1	588
1b3u	B	P30153	588	2.3	1	588
1b5y	A	P61626	130	2.2	1	130
1b47	A	P22681	304	2.2	47	350
1b47	B	P22681	304	2.2	47	350
1b47	C	P22681	304	2.2	47	350
1b7n	A	P61626	130	1.8	1	130
1bil	A	P00797	330	2.4	-2	160	160	326
1bil	B	P00797	329	2.4	-2	159	160	326
1bka	A	P02788	688	2.4	4	691
1bmq	A	P29466	167	2.5	131	297
1bmq	B	P29466	88	2.5	317	404
1bmz	A	P02766	114	2	10	123
1bmz	B	P02766	114	2	10	123
1boy	A	P13726	211	2.2	3	213
1bp3	A	P01241	186	2.9	1	148	153	190
1bp3	B	P16471	197	2.9	202	230	234	283	287	404
1bp5	A	P02787	328	2.2	4	331
1bp5	B	P02787	328	2.2	4	331
1bp5	C	P02787	334	2.2	4	337
1bp5	D	P02787	334	2.2	4	337
1c5g	A	P05121	379	2.6	24	402
1cam	A	P00918	259	1.7	3	261
1ca8	A	P00734	14	2.1	1	14
1ca8	B	P00734	228	2.1	16	36	37	147	151	246
1cai	A	P00918	259	1.8	3	261
1cb6	A	P02788	691	2	1001	1691
1cng	A	P00918	258	1.9	4	261
1cb5	A	Q13867	453	2.59	2	454
1cb5	B	Q13867	453	2.59	2	454
1cb5	C	Q13867	453	2.59	2	454
1csb	A	P07858	47	2	1	47
1csb	B	P07858	205	2	50	254
1csb	D	P07858	47	2	1	47
1csb	E	P07858	205	2	50	254
1d5v	A	Q99958	94	None	1	94
1d9i	A	P00734	243	2.3	1	14	16	147	150	246
1dan	H	P08709	242	2	16	257
1dan	L	P08709	142	2	1	142
1dan	T	P13726	75	2	6	80
1dan	U	P13726	116	2	91	158	163	210
1dca	A	P00918	256	2.2	5	260
1de7	H	P00734	227	2	16	147	150	244
1de7	J	P00734	14	2	1	14
1de7	K	P00734	229	2	16	147	150	246
1de7	L	P00734	14	2	1	14
1dsn	A	P02788	315	2.05	2	316
1dsw	A	P00441	153	None	1	153
1dst	A	P00746	228	2	16	243
1dv0	A	P54725	45	None	1	45
1dsu	A	P00746	228	2	16	243
1dsu	B	P00746	228	2	16	243
1dvn	A	P05121	379	2.1	1	379
1dwb	H	P00734	231	3.16	16	246
1dwb	L	P00734	14	3.16	1	14
1e1u	A	P04156	104	None	125	228
1dxu	B	P68871	146	1.7	1	146
1dxu	D	P68871	146	1.7	1	146
1dxv	B	P68871	146	1.7	1	146
1dxv	D	P68871	146	1.7	1	146
1e31	A	O15392	136	2.71	5	140
1e31	B	O15392	138	2.71	5	142
1dxo	A	P15559	273	2.5	1	273
1dxo	B	P15559	273	2.5	1	273
1dxo	C	P15559	273	2.5	1	273
1dxo	D	P15559	273	2.5	1	273
1e4h	A	P02766	116	1.8	10	125
1e4h	B	P02766	116	1.8	10	125
1ej5	A	P42768	69	None	1	69
1emj	A	P13051	223	2	82	304
1eot	A	P51671	74	None	1	74
1f1j	A	P55210	230	2.35	58	196	212	302
1f1j	B	P55210	231	2.35	357	496	512	602
1f3h	A	O15392	136	2.58	5	140
1f3h	B	O15392	135	2.58	6	140
1fql	A	P00918	257	2	5	261
1fqr	A	P00918	259	2	3	261
1fie	A	P00488	705	2.5	9	29	44	727
1fie	B	P00488	715	2.5	10	36	40	727
1g3f	A	P98170	116	None	241	356
1g53	A	P00918	259	1.94	3	261
1g4m	A	P17870	356	1.9	5	332	341	357	383	393
1g4m	B	P17870	357	1.9	5	331	339	357	383	393
1gag	A	P06213	303	2.7	981	1283
1gli	B	P68871	146	2.5	1	146
1gli	D	P68871	146	2.5	1	146
1gmn	A	P14210	171	2.3	38	208
1gmn	B	P14210	114	2.3	42	51	84	87	98	104	118	210
1gnj	A	P02768	582	2.6	3	584
1gnr	A	P01112	166	1.85	1	166
1gmy	A	P07858	254	1.9	0	253
1gmy	B	P07858	253	1.9	0	252
1gmy	C	P07858	253	1.9	0	252
1gp3	A	P11717	129	1.95	1515	1617	1622	1647
1gxe	A	Q14896	130	None	1	130
1gzy	B	P05019	57	2.54	3	31	39	66
1h9e	A	P42166	56	None	1	56
1h1v	G	P06396	327	2.99	412	455	460	742
1hcc	A	P08603	59	None	1	59
1hag	E	P00734	247	2	1	247
1hai	H	P00734	231	2.4	16	148	150	247
1hai	L	P00734	15	2.4	1	15
1hcg	A	P00742	230	2.2	16	145	152	251
1hcg	B	P00742	51	2.2	1	51
1hea	A	P00918	257	2	4	260
1hdt	H	P00734	232	2.6	16	247
1hdt	L	P00734	15	2.6	1	15
1hdz	A	P00325	374	2.5	1	374
1hdz	B	P00325	374	2.5	1	374
1hpj	A	P00747	79	None	1	79
1hgc	B	P68871	146	2.1	1	146
1hgc	D	P68871	146	2.1	1	146
1hse	A	P02788	317	2.2	4	320
1huw	A	P01241	166	2	1	129	155	191
1hrn	A	P00797	330	1.8	-2	160	160	326
1hrn	B	P00797	330	1.8	-2	160	160	326
1hva	A	P00918	256	2.3	5	260
1i44	A	P06213	282	2.4	986	1154	1171	1283
1i4m	A	P04156	108	2	119	226
1i5s	A	P33173	330	2.2	4	255	261	289	304	352
1i51	A	P55210	139	2.45	58	196
1i51	B	P55210	92	2.45	212	303
1i51	C	P55210	139	2.45	58	196
1i51	D	P55210	92	2.45	212	303
1i51	E	P98170	18	2.45	135	152
1i51	F	P98170	18	2.45	135	152
1ihs	H	P00734	232	2	16	247
1ihs	L	P00734	14	2	1	14
1i7r	A	P04439	275	2.2	1	275
1i7r	B	P61769	99	2.2	1	99
1i7r	D	P04439	275	2.2	1	275
1i7r	E	P61769	99	2.2	1	99
1i7t	A	P04439	275	2.8	1	275
1i7t	B	P61769	99	2.8	1	99
1i7t	D	P04439	275	2.8	1	275
1i7t	E	P61769	99	2.8	1	99
1ikn	D	P25963	216	2.3	73	95	101	293
1iz2	A	P01009	371	2.2	24	394
1jcz	A	O43570	258	1.55	4	261
1jcz	B	O43570	258	1.55	4	261
1jsg	A	P56279	111	2.5	4	114
1jrr	A	P05120	357	1.6	2	61	102	215	220	270	274	367	378	415
1jrr	P	P05120	14	1.6	367	380
1jwf	A	Q9UJY5	139	2.1	7	145
1jvq	I	P01008	410	2.6	5	27	42	380	384	431
1jvq	L	P01008	406	2.6	5	23	45	431
1jv1	A	Q16222	490	1.9	1	56	68	453	454	501
1jv1	B	Q16222	485	1.9	3	24	30	56	65	453	454	500
1jv3	A	Q16222	490	2.2	1	56	68	453	454	501
1jv3	B	Q16222	484	2.2	4	24	30	56	65	453	454	500
1k78	A	Q02548	124	2.25	19	142
1k78	E	Q02548	124	2.25	19	142
1k78	I	Q02548	58	2.25	84	141
1khm	A	P61978	89	None	1	89
1kku	A	Q9HAN9	216	2.5	5	110	148	257
1klc	A	P01137	112	None	1	112
1klc	B	P01137	112	None	1	112
1k9i	A	Q9NNX6	128	2.5	255	382
1k9i	B	Q9NNX6	128	2.5	255	382
1k9i	C	Q9NNX6	128	2.5	255	382
1k9i	D	Q9NNX6	132	2.5	253	384
1k9i	E	Q9NNX6	128	2.5	255	382
1k9i	F	Q9NNX6	128	2.5	255	382
1k9i	G	Q9NNX6	128	2.5	255	382
1k9i	H	Q9NNX6	127	2.5	255	381
1k9i	I	Q9NNX6	128	2.5	255	382
1k9i	J	Q9NNX6	128	2.5	255	382
1kup	A	P08514	11	None	1	11
1kup	B	P05106	25	None	12	36
1kw2	A	P02774	455	2.15	20	474
1kw2	B	P02774	453	2.15	22	474
1lds	A	P61769	96	1.8	1	96
1lf5	A	P01112	166	1.7	1	166
1lfv	B	P68871	146	2.8	1	146
1lfi	A	P02788	691	2.1	1	691
1lhn	A	P04278	176	2	13	134	136	189
1lfl	B	P68871	146	2.7	1	146
1lfl	D	P68871	146	2.7	1	146
1lfl	Q	P68871	146	2.7	1	146
1lfl	S	P68871	146	2.7	1	146
1luv	A	P04179	198	1.85	1	198
1luv	B	P04179	198	1.85	1	198
1lv4	A	P10645	21	None	1	21
1luw	A	P04179	198	2.3	1	198
1luw	B	P04179	198	2.3	1	198
1lwy	A	O15527	311	2.01	12	79	83	325
1lz6	A	P61626	130	1.8	1	130
1lzs	A	P61626	130	1.6	1	130
1lzs	B	P61626	130	1.6	1	130
1m17	A	P00533	312	2.6	672	964	977	995
1m9z	A	P37173	105	1.05	26	130
1m11	R	P08174	243	16	1	243
1m7r	A	Q13614	513	2.6	74	586
1m7r	B	Q13614	513	2.6	74	586
1mar	A	P15121	315	1.8	1	315
1m9k	A	P29474	400	2.01	67	105	120	480
1m9k	B	P29474	401	2.01	67	105	120	481
1mdk	B	P19838	13	None	1	13
1mlv	A	Q43088	420	2.6	50	227	231	256	267	482
1mlv	B	Q43088	434	2.6	49	482
1mlv	C	Q43088	433	2.6	50	482
1mx2	A	P42773	156	2.25	5	160
1mx2	B	P42773	156	2.25	7	162
1n5u	A	P02768	583	1.9	2	584
1n7x	A	P02787	329	2.1	3	331
